DATAHORA;ORDEM;LINHA;LATITUDE;LONGITUDE;VELOCIDADE
03-17-2019 11:43:27;C30214;;-22.95137;-43.348141;8.0
03-17-2019 11:45:10;B42620;;-22.87649;-43.32951;0.0
03-17-2019 11:51:15;B42613;;-22.87673;-43.329281;2.0
03-17-2019 11:55:09;B32649;793.0;-22.81683;-43.39418;0.0
03-17-2019 11:57:09;D13321;794.0;-22.87566;-43.46973;26.0
03-17-2019 11:57:44;B44599;;-22.86058;-43.356289;0.0
03-17-2019 12:02:21;C47781;;-22.953119;-43.351212;0.0
03-17-2019 12:03:02;B42615;;-22.87649;-43.329449;0.0
03-17-2019 12:04:28;D86073;;-22.894569;-43.532089;0.0
03-17-2019 12:09:23;D13323;801.0;-22.87635;-43.42025;0.0
03-17-2019 12:17:40;C27120;774.0;-22.754721;-43.29398;0.0
03-17-2019 12:18:15;B27141;951.0;-22.809839;-43.329048;28.0
03-17-2019 12:19:01;D53704;;-22.884279;-43.496151;0.0
03-17-2019 12:19:14;B44601;721.0;-22.849609;-43.323589;0.0
03-17-2019 12:22:15;B42611;;-22.876459;-43.32954;0.0
03-17-2019 12:22:50;D87204;;-22.918261;-43.607368;0.0
03-17-2019 12:32:01;D86263;;-22.894939;-43.532101;0.0
03-17-2019 12:37:17;B11642;778.0;-22.811554;-43.372166;0.0
03-17-2019 12:37:59;B32844;399.0;-22.834511;-43.3601;71.0
03-17-2019 12:41:50;B51577;;-22.876711;-43.368172;0.0
03-17-2019 12:44:22;D86368;;-22.89492;-43.532349;0.0
03-17-2019 12:44:43;D53716;;-22.883631;-43.494701;0.0
03-17-2019 12:45:21;B71034;247.0;-22.930086;-43.254448;0.19
03-17-2019 12:46:01;B42648;457.0;-22.91062;-43.227268;59.0
03-17-2019 12:47:10;D53660;;-22.884279;-43.49493;0.0
03-17-2019 12:49:06;A72015;422.0;-22.888977;-43.292423;0.0
03-17-2019 12:51:45;B11663;378.0;-22.86676;-43.354973;0.0
03-17-2019 12:52:30;B27016;639.0;-22.817039;-43.30254;0.0
03-17-2019 12:54:37;C47536;552.0;-22.99979;-43.241051;44.0
