,DATAHORA,ORDEM,LINHA,LATITUDE,LONGITUDE,VELOCIDADE
170,2019-03-17 08:02:54,B58177,,-22.836289999999998,-43.285629,0.0
171,2019-03-17 08:03:17,B10063,328.0,-22.81488,-43.186924,0.0
172,2019-03-17 08:04:17,D13117,756.0,-22.882998999999998,-43.552429,0.0
173,2019-03-17 08:06:24,B31060,,-22.80547,-43.308632,35.0
174,2019-03-17 08:08:08,C27119,774.0,-22.754459,-43.294411,0.0
175,2019-03-17 08:11:49,C12047,,-22.870608999999998,-43.769032,0.0
176,2019-03-17 08:13:11,D53749,,-22.88426,-43.494671000000004,0.0
177,2019-03-17 08:14:27,B44651,,-22.86062,-43.356232,0.0
178,2019-03-17 08:18:29,D53730,,-22.88394,-43.495621,0.0
179,2019-03-17 08:19:29,D53514,,-22.883341,-43.495789,0.0
180,2019-03-17 08:20:21,D53583,786.0,-22.883471,-43.49501,16.0
181,2019-03-17 08:23:46,B63002,665.0,-22.792509,-43.294399,0.0
182,2019-03-17 08:24:36,D53733,,-22.88364,-43.494759,0.0
183,2019-03-17 08:27:42,D53645,,-22.883570000000002,-43.494831,0.0
184,2019-03-17 08:27:58,B71098,455.0,-22.929541,-43.255066,0.0
185,2019-03-17 08:28:33,D53744,,-22.883341,-43.49498,0.0
186,2019-03-17 08:36:03,C30023,550.0,-22.966089,-43.188,18.0
187,2019-03-17 08:39:13,C47730,863.0,-23.001520000000003,-43.366058,0.0
188,2019-03-17 08:40:08,D87752,,-22.916349,-43.607559,12.0
189,2019-03-17 08:42:12,D13230,,-22.915279,-43.360748,0.0
190,2019-03-17 08:47:06,B63008,665.0,-22.814659,-43.294128,54.0
191,2019-03-17 08:48:18,B63096,,-22.867451000000003,-43.258362,0.0
192,2019-03-17 08:48:48,B58032,625.0,-22.839910999999997,-43.282021,20.0
193,2019-03-17 08:49:46,D53679,,-22.88328,-43.495689,0.0
194,2019-03-17 08:53:14,D13227,,-22.915701000000002,-43.361309000000006,0.0
195,2019-03-17 08:55:33,B58099,,-22.837320000000002,-43.286678,33.0
196,2019-03-17 08:58:18,A29035,,-22.86809,-43.292609999999996,0.0
197,2019-03-17 09:00:51,D17085,,-22.918171,-43.607861,0.0
198,2019-03-17 09:04:41,C30256,550.0,-22.98539,-43.229561,39.0
199,2019-03-17 09:07:41,C30217,,-22.966539,-43.186371,0.0
200,2019-03-17 09:08:17,D53755,,-22.884319,-43.496231,0.0
201,2019-03-17 09:09:29,A41040,106.0,-22.680389,-43.47871,0.0
202,2019-03-17 09:12:16,D87713,,-22.917170000000002,-43.608398,0.0
203,2019-03-17 09:13:27,A41004,106.0,-22.684549,-43.482459999999996,0.0
204,2019-03-17 09:15:46,B32734,386.0,-22.816689999999998,-43.394241,0.0
205,2019-03-17 09:16:31,B28509,326.0,-22.816601000000002,-43.187439000000005,18.0
206,2019-03-17 09:16:38,D87067,896.0,-22.91855,-43.607571,0.0
207,2019-03-17 09:26:54,D53929,,-22.884001,-43.495628,0.0
208,2019-03-17 09:27:50,D86049,,-22.89562,-43.53286,0.0
209,2019-03-17 09:27:55,D53754,,-22.883249,-43.495571000000005,0.0
210,2019-03-17 09:28:33,C50034,810.0,-22.983139,-43.489666,60.0
211,2019-03-17 09:34:03,D87881,,-22.916361,-43.607231,0.0
212,2019-03-17 09:37:44,B51547,624.0,-22.868129999999997,-43.343491,0.0
213,2019-03-17 09:38:40,D13236,,-23.00806,-43.303459000000004,0.0
214,2019-03-17 09:39:42,D13368,,-22.876591,-43.419940999999994,0.0
215,2019-03-17 09:39:57,D87872,,-22.917009,-43.607409999999994,0.0
216,2019-03-17 09:47:13,A72079,422.0,-22.888798,-43.292590999999994,0.0
217,2019-03-17 09:49:20,C47766,,-22.979759,-43.333271,8.0
218,2019-03-17 09:49:32,C47515,,-22.952959,-43.349209,0.0
219,2019-03-17 09:51:01,D53649,759.0,-22.884439,-43.495098,0.0
220,2019-03-17 09:58:43,C47748,,-22.951798999999998,-43.348461,0.0
221,2019-03-17 10:02:45,B58079,628.0,-22.83918,-43.282921,30.0
222,2019-03-17 10:03:32,A63543,,-22.867611,-43.258701,0.0
223,2019-03-17 10:07:26,D87396,,-22.916901,-43.608028000000004,0.0
224,2019-03-17 10:08:13,B27016,639.0,-22.81711,-43.302368,0.0
225,2019-03-17 10:09:32,C30007,565.0,-22.879749,-43.356869,0.0
226,2019-03-17 10:10:08,D13261,777.0,-22.87405,-43.33535,26.0
227,2019-03-17 10:12:48,B58127,,-22.838209,-43.28463,20.0
228,2019-03-17 10:13:37,C47588,,-22.952749,-43.348862,0.0
229,2019-03-17 10:19:39,B25533,,-22.902081,-43.298721,0.0
230,2019-03-17 10:21:40,B58181,621.0,-22.838670999999998,-43.283871000000005,32.0
231,2019-03-17 10:23:06,B32636,298.0,-22.81568,-43.386798999999996,0.0
232,2019-03-17 10:25:34,B71135,238.0,-22.929995,-43.254093,0.0
233,2019-03-17 10:27:14,A41379,463.0,-22.875099,-43.240662,0.0
234,2019-03-17 10:28:04,D12127,,-22.85029,-43.765999,0.0
235,2019-03-17 10:28:07,D13170,,-22.875420000000002,-43.41877,0.0
236,2019-03-17 10:31:49,D87858,,-22.916539999999998,-43.6077,0.0
237,2019-03-17 10:35:12,D53720,819.0,-22.87355,-43.466091,46.0
238,2019-03-17 10:41:23,D13076,383.0,-22.908580999999998,-43.18911,0.0
239,2019-03-17 10:41:58,D53914,,-22.883789,-43.496208,0.0
240,2019-03-17 10:42:16,D13119,,-22.876479999999997,-43.419769,0.0
241,2019-03-17 10:44:04,B11700,669.0,-22.81111,-43.372966999999996,0.0
242,2019-03-17 10:44:24,D87130,821.0,-22.91931,-43.6077,0.0
243,2019-03-17 10:48:03,B31006,,-22.804779,-43.309459999999994,0.0
244,2019-03-17 10:48:39,A63505,104.0,-22.926399,-43.179119,39.0
245,2019-03-17 10:49:38,B63010,665.0,-22.84095,-43.25312,32.0
246,2019-03-17 10:51:56,B28702,2343.0,-22.81459,-43.188839,0.0
247,2019-03-17 10:51:59,B32829,385.0,-22.816771,-43.394321000000005,0.0
248,2019-03-17 10:52:47,D53671,393.0,-22.884569,-43.495201,3.0
249,2019-03-17 10:56:02,C30343,565.0,-22.950729,-43.356899,60.0
250,2019-03-17 10:56:16,B58122,,-22.836571,-43.285801,0.0
251,2019-03-17 10:56:30,D17029,,-22.91856,-43.60799,0.0
252,2019-03-17 10:57:26,C47677,,-23.001459,-43.365821999999994,0.0
253,2019-03-17 11:00:45,B28531,321.0,-22.889120000000002,-43.224178,59.0
254,2019-03-17 11:04:02,B11554,362.0,-22.866068,-43.356968,0.0
255,2019-03-17 11:04:06,D53692,393.0,-22.88335,-43.495152000000004,0.0
256,2019-03-17 11:05:15,B11513,362.0,-22.866621,-43.355412,0.0
