"aisp";"mes";"vano";"nome_comandante_bpm"
39;9;2002;"CEL JOSÉ AURÉLIO BRAZUNA MACIEL"
1;10;2002;"TEN CEL JORGE BRAGA"
2;10;2002;"TEN CEL GIOVANI CAROPRESE NETO"
3;10;2002;"TEN CEL PAULO AUGUSTO DO COUTO MOUZINHO"
4;10;2002;"TEN CEL ADILSON THEODORO SOARES"
5;10;2002;"TEN CEL HÉLIO LUIZ AZEVEDO NEVES"
6;10;2002;"TEN CEL FRANCISCO MURILO LEITE LIRA"
7;10;2002;"TEN CEL RICARDO DA SILVEIRA FURTADO"
8;10;2002;"TEN CEL MÁRIO DOS SANTOS PINTO"
9;10;2002;"TEN CEL ANTONIO CARLOS SUARES DAVID"
10;10;2002;"TEN CEL ROSANO AUGUSTO DE SOUZA"
11;10;2002;"TEN CEL OSWALDO AUGUSTO VAZ"
12;10;2002;"CEL MARCÍLIO FARIA DA COSTA"
13;10;2002;"TEN CEL SIDNEI COUTINHO TEIXEIRA"
14;10;2002;"TEN CEL MIGUEL DE ALMEIDA CARLOU"
15;10;2002;"TEN CEL DINALDO CARNEIRO DE MACEDO"
16;10;2002;"TEN CEL RONALDO ANTONIO DE MENEZES"
17;10;2002;"TEN CEL ALCIDES MENEZES DE AZEVEDO"
18;10;2002;"TEN CEL MARCO AURÉLIO DE MOURA"
19;10;2002;"TEN CEL DARIO CONY DOS SANTOS"
20;10;2002;"CEL FRANCISCO D' AMBRÓSIO"
21;10;2002;"CEL CARLOS ALBERTO VICTORIANO GUEDES"
22;10;2002;"CEL CARLOS AUGUSTO CARRIJO DA SILVA"
23;10;2002;"TEN CEL UBIRATAN DE OLIVEIRA ANGELO"
24;10;2002;"TEN CEL EDUARDO LUIZ DA FONSECA PINTO"
25;10;2002;"TEN CEL ADILSON OLIVEIRA DO NASCIMENTO"
26;10;2002;"TEN CEL LUIZ CARLOS DE OLIVEIRA"
27;10;2002;"TEN CEL JOSÉ DE OLIVEIRA PENTEADO"
28;10;2002;"CEL RENATO SILVA HOTTZ"
29;10;2002;"TEN CEL JORGE ROMEU PEREIRA DO NASCIMENTO"
30;10;2002;"TEN CEL EDSON EURICO DOS SANTOS"
31;10;2002;"TEN CEL MAURO GONÇALVES TEIXEIRA"
32;10;2002;"TEN CEL MARCOS FAZIO CORREA"
33;10;2002;"MAJ HIRAN JORGE FIGUEIREDO DE CARVALHO"
34;10;2002;"MAJ MAURÍCIO SANTOS DE MORAES"
35;10;2002;"TEN CEL ROMÃO ROBERTO DE MELLO VILAÇA"
36;10;2002;"TEN CEL WEBER GUTTEMBERG COLLYER"
37;10;2002;"MAJ JOÃO GILBERTO DA SILVA GUIMARAES"
38;10;2002;"MAJ DALMO SIQUEIRA GOMES"
39;10;2002;"CEL JOSÉ AURÉLIO BRAZUNA MACIEL"
1;11;2002;"TEN CEL JORGE BRAGA"
2;11;2002;"TEN CEL GIOVANI CAROPRESE NETO"
3;11;2002;"TEN CEL PAULO AUGUSTO DO COUTO MOUZINHO"
4;11;2002;"TEN CEL ADILSON THEODORO SOARES"
5;11;2002;"TEN CEL HÉLIO LUIZ AZEVEDO NEVES"
6;11;2002;"TEN CEL FRANCISCO MURILO LEITE LIRA"
7;11;2002;"TEN CEL RICARDO DA SILVEIRA FURTADO"
8;11;2002;"TEN CEL MÁRIO DOS SANTOS PINTO"
9;11;2002;"TEN CEL ANTONIO CARLOS SUARES DAVID"
10;11;2002;"TEN CEL ROSANO AUGUSTO DE SOUZA"
11;11;2002;"TEN CEL OSWALDO AUGUSTO VAZ"
12;11;2002;"CEL MARCÍLIO FARIA DA COSTA"
13;11;2002;"TEN CEL SIDNEI COUTINHO TEIXEIRA"
14;11;2002;"TEN CEL MIGUEL DE ALMEIDA CARLOU"
15;11;2002;"TEN CEL DINALDO CARNEIRO DE MACEDO"
16;11;2002;"TEN CEL RONALDO ANTONIO DE MENEZES"
17;11;2002;"TEN CEL ALCIDES MENEZES DE AZEVEDO"
18;11;2002;"TEN CEL MARCO AURÉLIO DE MOURA"
19;11;2002;"TEN CEL DARIO CONY DOS SANTOS"
20;11;2002;"CEL FRANCISCO D' AMBRÓSIO"
21;11;2002;"CEL CARLOS ALBERTO VICTORIANO GUEDES"
22;11;2002;"CEL CARLOS AUGUSTO CARRIJO DA SILVA"
23;11;2002;"TEN CEL UBIRATAN DE OLIVEIRA ANGELO"
24;11;2002;"TEN CEL EDUARDO LUIZ DA FONSECA PINTO"
25;11;2002;"TEN CEL ADILSON OLIVEIRA DO NASCIMENTO"
26;11;2002;"TEN CEL LUIZ CARLOS DE OLIVEIRA"
27;11;2002;"TEN CEL JOSÉ DE OLIVEIRA PENTEADO"
28;11;2002;"CEL RENATO SILVA HOTTZ"
29;11;2002;"TEN CEL JORGE ROMEU PEREIRA DO NASCIMENTO"
30;11;2002;"TEN CEL EDSON EURICO DOS SANTOS"
31;11;2002;"TEN CEL MAURO GONÇALVES TEIXEIRA"
32;11;2002;"TEN CEL MARCOS FAZIO CORREA"
33;11;2002;"MAJ HIRAN JORGE FIGUEIREDO DE CARVALHO"
34;11;2002;"MAJ MAURÍCIO SANTOS DE MORAES"
35;11;2002;"TEN CEL ROMÃO ROBERTO DE MELLO VILAÇA"
36;11;2002;"TEN CEL WEBER GUTTEMBERG COLLYER"
37;11;2002;"MAJ JOÃO GILBERTO DA SILVA GUIMARAES"
38;11;2002;"MAJ DALMO SIQUEIRA GOMES"
39;11;2002;"CEL JOSÉ AURÉLIO BRAZUNA MACIEL"
1;12;2002;"TEN CEL JORGE BRAGA"
2;12;2002;"TEN CEL GIOVANI CAROPRESE NETO"
